2025-11-27 17:46:36,274 | INFO  | MainThread | solace_agent_mesh.agent.sac.app | Configuring A2A_ADK_App for Agent: 'OrganizationOrchestrator' in Namespace: 'Main/'
2025-11-27 17:46:36,274 | INFO  | MainThread | solace_agent_mesh.agent.sac.app | Automatically generated subscriptions for Agent 'OrganizationOrchestrator': [{'topic': 'Main/a2a/v1/agent/request/OrganizationOrchestrator'}, {'topic': 'Main/a2a/v1/discovery/agentcards'}, {'topic': 'Main/a2a/v1/agent/response/OrganizationOrchestrator/>'}, {'topic': 'Main/a2a/v1/agent/status/OrganizationOrchestrator/>'}, {'topic': 'Main/sam/events/session/>'}]
2025-11-27 17:46:36,275 | INFO  | MainThread | solace_ai_connector.components.component_base | [organization-orchestrator_app_broker_input] [solace_ai_connector.organization-orchestrator_app_implicit_flow.organization-orchestrator_app_broker_input]  Multi-session request/response is enabled.
2025-11-27 17:46:36,275 | INFO  | MainThread | solace_ai_connector.components.component_base | [organization-orchestrator_app_broker_input] [solace_ai_connector.organization-orchestrator_app_implicit_flow.organization-orchestrator_app_broker_input]  Using parent app's broker configuration as default for multi-session request/response.
2025-11-27 17:46:36,275 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[organization-orchestrator_app_broker_input]: reconnection_strategy not provided, using default value of forever_retry
2025-11-27 17:46:36,275 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[organization-orchestrator_app_broker_input]: retry_interval not provided, using default value of 3000 milliseconds
2025-11-27 17:46:36,288 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[organization-orchestrator_app_broker_input]: Successfully connected to broker at ws://localhost:8008.
2025-11-27 17:46:36,314 | INFO  | MainThread | solace_ai_connector.components.component_base | [<unnamed>] [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Multi-session request/response is enabled.
2025-11-27 17:46:36,314 | INFO  | MainThread | solace_ai_connector.components.component_base | [<unnamed>] [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Using parent app's broker configuration as default for multi-session request/response.
2025-11-27 17:46:36,315 | INFO  | MainThread | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Initializing SamComponentBase...
2025-11-27 17:46:36,315 | INFO  | MainThread | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Initialized SamComponentBase
2025-11-27 17:46:36,315 | INFO  | MainThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Initializing agent: OrganizationOrchestrator (A2A ADK Host Component)...
2025-11-27 17:46:36,315 | INFO  | MainThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Default session behavior set to: PERSISTENT
2025-11-27 17:46:36,315 | INFO  | MainThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Artifact Handling Mode: reference
2025-11-27 17:46:36,315 | WARNING | MainThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Artifact handling mode 'reference' selected, but this component does not currently host an endpoint to serve artifacts. Clients may not be able to retrieve referenced artifacts.
2025-11-27 17:46:36,316 | INFO  | MainThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Initializing synchronous ADK services...
